sep=,
"Region","Family","Source VM","OS","Lifecycle","Current recommendation","Current type","Simple recommendation","Simple outcome","Same target","Source hourly","Current hourly","Simple hourly","Currency","Simple reason"
"uksouth","standardDDv5Family","Standard_D2d_v5","linux","previousGeneration","Standard_D2d_v5","KEEP","Standard_D2_v3","cost-optimization","No","0.0992","0.0992","0.0879","GBP","Cost optimization: 11.4% cheaper with equivalent capabilities"
"uksouth","standardDFamily","Standard_D1","linux","retirementAnnounced","Standard_D2lds_v5","RETIREMENT_MIGRATION","Standard_D2lds_v5","eol-migration","Yes","0.0729","0.0871","0.0871","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardDLDSv5Family","Standard_D2lds_v5","linux","previousGeneration","Standard_D2lds_v5","KEEP","Standard_D2lds_v5","keep","Yes","0.0871","0.0871","0.0871","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDldsv6Family","Standard_D2lds_v6","linux","current","Standard_D2lds_v6","KEEP","Standard_D2lds_v5","cost-optimization","No","0.0992","0.0992","0.0871","GBP","Cost optimization: 12.2% cheaper with equivalent capabilities"
"uksouth","standardDLSv5Family","Standard_D2ls_v5","linux","previousGeneration","Standard_D2ls_v5","KEEP","Standard_D2ls_v5","keep","Yes","0.0765","0.0765","0.0765","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDlsv6Family","Standard_D2ls_v6","linux","current","Standard_D2ls_v6","KEEP","Standard_D2ls_v5","cost-optimization","No","0.0803","0.0803","0.0765","GBP","Cost optimization: 4.7% cheaper with equivalent capabilities"
"uksouth","StandardDndv6Family","Standard_D2nds_v6","linux","current","Standard_D2nds_v6","KEEP","Standard_D2s_v3","cost-optimization","No","0.1508","0.1508","0.0879","GBP","Cost optimization: 41.7% cheaper with equivalent capabilities"
"uksouth","StandardDnldv6Family","Standard_D2nlds_v6","linux","current","Standard_D2nlds_v6","KEEP","Standard_D2lds_v5","cost-optimization","No","0.1258","0.1258","0.0871","GBP","Cost optimization: 30.8% cheaper with equivalent capabilities"
"uksouth","StandardDnlv6Family","Standard_D2nls_v6","linux","current","Standard_D2nls_v6","KEEP","Standard_D2ls_v5","cost-optimization","No","0.1015","0.1015","0.0765","GBP","Cost optimization: 24.6% cheaper with equivalent capabilities"
"uksouth","StandardDnv6Family","Standard_D2ns_v6","linux","current","Standard_D2ns_v6","KEEP","Standard_D2s_v5","cost-optimization","No","0.1318","0.1318","0.0841","GBP","Cost optimization: 36.2% cheaper with equivalent capabilities"
"uksouth","standardDPDSv5Family","Standard_D2pds_v5","linux","current","Standard_D2pds_v5","KEEP","Standard_D2pds_v5","keep","Yes","0.0788","0.0788","0.0788","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDpdsv6Family","Standard_D2pds_v6","linux","current","Standard_D2pds_v6","KEEP","Standard_D2pds_v6","keep","Yes","0.0803","0.0803","0.0803","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDPLDSv5Family","Standard_D2plds_v5","linux","current","Standard_D2plds_v5","KEEP","Standard_D2plds_v5","keep","Yes","0.0697","0.0697","0.0697","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDpldsv6Family","Standard_D2plds_v6","linux","current","Standard_D2plds_v6","KEEP","Standard_D2plds_v6","keep","Yes","0.0682","0.0682","0.0682","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDPLSv5Family","Standard_D2pls_v5","linux","current","Standard_D2pls_v6","COST_OPTIMIZATION","Standard_D2pls_v5","keep","No","0.0612","0.0542","0.0612","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDplsv6Family","Standard_D2pls_v6","linux","current","Standard_D2pls_v6","KEEP","Standard_D2pls_v6","keep","Yes","0.0542","0.0542","0.0542","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDPSv5Family","Standard_D2ps_v5","linux","current","Standard_D2ps_v6","COST_OPTIMIZATION","Standard_D2ps_v5","keep","No","0.0673","0.0614","0.0673","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDpsv6Family","Standard_D2ps_v6","linux","current","Standard_D2ps_v6","KEEP","Standard_D2ps_v6","keep","Yes","0.0614","0.0614","0.0614","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDSFamily","Standard_DS1","linux","retirementAnnounced","Standard_D2lds_v5","RETIREMENT_MIGRATION","Standard_D2lds_v5","eol-migration","Yes","0.0729","0.0871","0.0871","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardDSv2Family","Standard_DS1_v2","linux","retirementAnnounced","Standard_D2lds_v5","RETIREMENT_MIGRATION","Standard_D2lds_v5","eol-migration","Yes","0.0665","0.0871","0.0871","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardDSv2PromoFamily","Standard_DS2_v2_Promo","linux","previousGeneration","Standard_DS2_v2_Promo","KEEP","Standard_DS2_v2_Promo","keep","Yes","","","","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDSv3Family","Standard_D2s_v3","linux","previousGeneration","Standard_D2s_v5","PERFORMANCE_UPGRADE","Standard_D2s_v3","keep","No","0.0879","0.0841","0.0879","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDSv4Family","Standard_D2s_v4","linux","previousGeneration","Standard_D2s_v5","PERFORMANCE_UPGRADE","Standard_D2s_v4","keep","No","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDSv5Family","Standard_D2s_v5","linux","previousGeneration","Standard_D2s_v5","KEEP","Standard_D2s_v5","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDsv6Family","Standard_D2s_v6","linux","current","Standard_D2s_v6","KEEP","Standard_D2s_v5","cost-optimization","No","0.0886","0.0886","0.0841","GBP","Cost optimization: 5.1% cheaper with equivalent capabilities"
"uksouth","standardDv2Family","Standard_D1_v2","linux","retirementAnnounced","Standard_D2lds_v5","RETIREMENT_MIGRATION","Standard_D2lds_v5","eol-migration","Yes","0.0665","0.0871","0.0871","GBP","EOL migration: cheapest compatible replacement"
"uksouth","standardDv2PromoFamily","Standard_D2_v2_Promo","linux","previousGeneration","Standard_D2_v2_Promo","KEEP","Standard_D2_v2_Promo","keep","Yes","","","","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDv3Family","Standard_D2_v3","linux","previousGeneration","Standard_D2_v3","KEEP","Standard_D2_v3","keep","Yes","0.0879","0.0879","0.0879","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDv4Family","Standard_D2_v4","linux","previousGeneration","Standard_D2_v4","KEEP","Standard_D2_v4","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDv5Family","Standard_D2_v5","linux","previousGeneration","Standard_D2_v5","KEEP","Standard_D2_v5","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEADSv5Family","Standard_E2ads_v5","linux","previousGeneration","Standard_E2ads_v5","KEEP","Standard_E2as_v4","cost-optimization","No","0.1864","0.1864","0.1121","GBP","Cost optimization: 39.9% cheaper with equivalent capabilities"
"uksouth","StandardEadsv7Family","Standard_E2ads_v7","linux","current","Standard_E2ads_v7","KEEP","Standard_E2as_v4","cost-optimization","No","0.128","0.128","0.1121","GBP","Cost optimization: 12.4% cheaper with equivalent capabilities"
"uksouth","standardEadv6Family","Standard_E2ads_v6","linux","previousGeneration","Standard_E2ads_v6","KEEP","Standard_E2as_v4","cost-optimization","No","0.128","0.128","0.1121","GBP","Cost optimization: 12.4% cheaper with equivalent capabilities"
"uksouth","standardEASv4Family","Standard_E2as_v4","linux","previousGeneration","Standard_E2as_v4","KEEP","Standard_E2as_v4","keep","Yes","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEASv5Family","Standard_E2as_v5","linux","previousGeneration","Standard_E2as_v5","KEEP","Standard_E2as_v7","cost-optimization","No","0.1705","0.1705","0.1053","GBP","Cost optimization: 38.2% cheaper with equivalent capabilities"
"uksouth","StandardEasv7Family","Standard_E2as_v7","linux","current","Standard_E2as_v7","KEEP","Standard_E2as_v7","keep","Yes","0.1053","0.1053","0.1053","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEAv4Family","Standard_E2a_v4","linux","previousGeneration","Standard_E2a_v4","KEEP","Standard_E2a_v4","keep","Yes","0.1121","0.1121","0.1121","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEav6Family","Standard_E2as_v6","linux","previousGeneration","Standard_E2as_v6","KEEP","Standard_E2as_v6","keep","Yes","0.1053","0.1053","0.1053","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEBDSv5Family","Standard_E2bds_v5","linux","previousGeneration","Standard_E2bds_v5","KEEP","Standard_E2s_v3","cost-optimization","No","0.15","0.15","0.1182","GBP","Cost optimization: 21.2% cheaper with equivalent capabilities"
"uksouth","standardEBSv5Family","Standard_E2bs_v5","linux","previousGeneration","Standard_E2bs_v5","KEEP","Standard_E2s_v5","cost-optimization","No","0.1341","0.1341","0.1121","GBP","Cost optimization: 16.4% cheaper with equivalent capabilities"
"uksouth","standardECadsv6Family","Standard_EC2ads_v6","linux","current","Standard_EC2ads_v6","KEEP","Standard_EC2ads_v6","keep","Yes","0.128","0.128","0.128","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardECasv6Family","Standard_EC2as_v6","linux","current","Standard_EC2as_v6","KEEP","Standard_EC2as_v6","keep","Yes","0.1053","0.1053","0.1053","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardEDSv4Family","Standard_E2ds_v4","linux","previousGeneration","Standard_E2ds_v5","PERFORMANCE_UPGRADE","Standard_E2s_v3","cost-optimization","No","0.128","0.128","0.1182","GBP","Cost optimization: 7.7% cheaper with equivalent capabilities"
