"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D4d_v4","linux","same-vendor","recommended","Standard_D4d_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4d_v4","linux","prefer-same-vendor","recommended","Standard_D4d_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4d_v4","linux","any-compatible","recommended","Standard_D4d_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4d_v5","linux","same-vendor","recommended","Standard_D4d_v4","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4d_v5","linux","prefer-same-vendor","recommended","Standard_D4d_v4","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4d_v5","linux","any-compatible","recommended","Standard_D4d_v4","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 0.0% lower PAYG price."
"uksouth","Standard_D4ds_v4","linux","same-vendor","recommended","Standard_D4ds_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 0.0% lower PAYG price."
"uksouth","Standard_D4ds_v4","linux","prefer-same-vendor","recommended","Standard_D4ds_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 0.0% lower PAYG price."
"uksouth","Standard_D4ds_v4","linux","any-compatible","recommended","Standard_D4ds_v5","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 0.0% lower PAYG price."
"uksouth","Standard_D4ds_v5","linux","same-vendor","recommended","Standard_D4ds_v4","0.1985","0.1985","0","0","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 0.0% lower PAYG price."
