"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_D48ls_v5","linux","any-compatible","recommended","Standard_D48als_v6","1.8364","1.6985","100.667","7.509257","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 7.5% lower PAYG price."
"uksouth","Standard_D48ls_v6","linux","same-vendor","recommended","Standard_D48als_v7","1.9281","1.6985","167.608","11.908096","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.9% lower PAYG price."
"uksouth","Standard_D48ls_v6","linux","prefer-same-vendor","recommended","Standard_D48als_v7","1.9281","1.6985","167.608","11.908096","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.9% lower PAYG price."
"uksouth","Standard_D48ls_v6","linux","any-compatible","recommended","Standard_D48als_v7","1.9281","1.6985","167.608","11.908096","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.9% lower PAYG price."
"uksouth","Standard_D48nds_v6","linux","same-vendor","recommended","Standard_D48as_v7","3.6168","1.9198","1238.81","46.919929","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 46.9% lower PAYG price."
"uksouth","Standard_D48nds_v6","linux","prefer-same-vendor","recommended","Standard_D48as_v7","3.6168","1.9198","1238.81","46.919929","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 46.9% lower PAYG price."
"uksouth","Standard_D48nds_v6","linux","any-compatible","recommended","Standard_D48as_v7","3.6168","1.9198","1238.81","46.919929","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 46.9% lower PAYG price."
"uksouth","Standard_D48nlds_v6","linux","same-vendor","recommended","Standard_D48als_v7","3.0183","1.6985","963.454","43.726601","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 43.7% lower PAYG price."
"uksouth","Standard_D48nlds_v6","linux","prefer-same-vendor","recommended","Standard_D48als_v7","3.0183","1.6985","963.454","43.726601","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 43.7% lower PAYG price."
"uksouth","Standard_D48nlds_v6","linux","any-compatible","recommended","Standard_D48als_v7","3.0183","1.6985","963.454","43.726601","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 43.7% lower PAYG price."
"uksouth","Standard_D48nls_v6","linux","same-vendor","recommended","Standard_D48als_v7","2.444","1.6985","544.215","30.503273","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 30.5% lower PAYG price."
"uksouth","Standard_D48nls_v6","linux","prefer-same-vendor","recommended","Standard_D48als_v7","2.444","1.6985","544.215","30.503273","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 30.5% lower PAYG price."
"uksouth","Standard_D48nls_v6","linux","any-compatible","recommended","Standard_D48als_v7","2.444","1.6985","544.215","30.503273","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 30.5% lower PAYG price."
"uksouth","Standard_D48ns_v6","linux","same-vendor","recommended","Standard_D48as_v7","3.1645","1.9198","908.631","39.333228","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 39.3% lower PAYG price."
"uksouth","Standard_D48ns_v6","linux","prefer-same-vendor","recommended","Standard_D48as_v7","3.1645","1.9198","908.631","39.333228","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 39.3% lower PAYG price."
"uksouth","Standard_D48ns_v6","linux","any-compatible","recommended","Standard_D48as_v7","3.1645","1.9198","908.631","39.333228","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 39.3% lower PAYG price."
"uksouth","Standard_D48pds_v5","linux","same-vendor","recommended","Standard_D64pds_v5","1.8948","2.5259","-460.703","-33.306945","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 33.3% higher PAYG price."
"uksouth","Standard_D48pds_v5","linux","prefer-same-vendor","recommended","Standard_D64pds_v5","1.8948","2.5259","-460.703","-33.306945","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 33.3% higher PAYG price."
"uksouth","Standard_D48pds_v5","linux","any-compatible","recommended","Standard_D64pds_v5","1.8948","2.5259","-460.703","-33.306945","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 33.3% higher PAYG price."
"uksouth","Standard_D48pds_v6","linux","same-vendor","recommended","Standard_D48ps_v6","1.9236","1.4728","329.084","23.435226","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 23.4% lower PAYG price."
"uksouth","Standard_D48pds_v6","linux","prefer-same-vendor","recommended","Standard_D48ps_v6","1.9236","1.4728","329.084","23.435226","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 23.4% lower PAYG price."
"uksouth","Standard_D48pds_v6","linux","any-compatible","recommended","Standard_D48ps_v6","1.9236","1.4728","329.084","23.435226","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 23.4% lower PAYG price."
